A,R,S,T,N,E,I,O,base,left word,right word,left partials,right partials
●,,,,,,,,a,,,,
,●,,,,,,,r,,,,
●,●,,,,,,,w,,,,
,,●,,,,,,s,,,,
●,,●,,,,,,x,,,,
,●,●,,,,,,f,,,,
●,●,●,,,,,,,was,,"was, fa, af, ars, ws, sw, far, fra, saw, aff, ras, fas, sar, rsa, ssar, saf, afr, aws, raf, rass, ",
,,,●,,,,,t,,,,
●,,,●,,,,,p,,,,
,●,,●,,,,,c,,,,
●,●,,●,,,,,,part,,"ca, ac, pr, art, par, act, tra, tw, rat, car, part, tar, rac, rta, cat, acc, rp, wat, ract, atc, ",
,,●,●,,,,,d,,,,
●,,●,●,,,,,,past,,"ad, da, sta, sp, ast, xp, ps, xt, pas, stat, sat, pass, add, spa, aps, dat, tas, past, ads, ats, ",
,●,●,●,,,,,,dr,,"rd, ft, dr, sc, str, rst, rds, rts, scr, cts, cs, tf, ddr, df, fts, cd, dsc, rsd, cst, fc, ",
●,●,●,●,,,,,,fact,,"ard, aft, fac, ward, star, stra, cas, fat, rad, fact, xc, dar, dra, sca, ards, rsta, draw, xtr, spr, fast, ",
,,,,●,,,,n,,,,
●,,,,●,,,,j,,,,
,●,,,●,,,,k,,,,
●,●,,,●,,,,,ran,,"ak, wn, ran, wan, ark, ank, arn, rna, rank, rran, awn, aran, wak, warn, rawn, rka, ","ka, nar, nw, narr, "
,,●,,●,,,,m,,,,
●,,●,,●,,,,,am,man,"am, ans, sam, san, sma, asn, xam, ama, ams, xan, ","ma, man, nam, mas, mana, mma, mann, mman, maj, mass, "
,●,●,,●,,,,,,mr,"rm, sk, rms, rns, rks, rnm, sks, rkf, rkm, ","ks, nf, mr, mrs, nks, mf, kf, nsf, km, nfr, msf, "
●,●,●,,●,,,,,ask,mark,"ask, rma, arm, fam, rman, answ, wasn, ram, fran, fan, rans, arms, anks, warm, asks, ","mar, mak, mark, nsw, marr, "
,,,●,●,,,,b,,,,
●,,,●,●,,,,,,japan,"ab, ba, ant, tan, pan, tant, tab, ban, bab, bj, bat, batt, anta, apan, abb, ","nat, nta, nab, jap, japa, "
,●,,●,●,,,,,,,"ck, br, rb, rtn, ckn, rnt, bc, tk, ckb, tbr, ckt, cn, cb, ","nc, ntr, ncr, nct, kt, kb, "
●,●,,●,●,,,,,can,,"can, ack, anc, tak, bac, back, want, bra, ranc, tanc, tran, bar, rtan, rab, cann, rant, tack, ","ntra, jac, jack, "
,,●,●,●,,,,,,,"dn, bs, tm, dm, sb, stm, bst, db, bm, bts, ","nd, mb, nts, nds, nst, mst, ntm, mbs, ndm, ndn, "
●,,●,●,●,,,,,and,,"and, stan, tand, ands, amp, dan, bas, ants, band, bad, ","mp, mat, mad, mpa, mpan, nda, matt, mpt, mand, nsta, "
,●,●,●,●,,,,,,,"cks, rtm, ckm, rnst, fb, rmt, rdb, dk, bstr, ","ndr, nstr, nsc, mbr, ndf, mc, mcd, ndsc, mcc, ndk, ncts, "
●,●,●,●,●,,,,,dark,,,
,,,,,●,,,e,,,,
●,,,,,●,,,q,,,,
,●,,,,●,,,z,,,,
●,●,,,,●,,,,were,,"we, rea, are, wer, were, wee, wea, rew, az, req, za, wear, ware, area, ","ear, ew, era, eare, erw, ewe, "
,,●,,,●,,,",",see,,"se, see, sse, ses, sses, sess, sees, ","es, ess, ese, esse, ees, eese, "
●,,●,,,●,,,,sea,ease,"ase, sea, asse, xe, sq, ases, sex, seq, seas, axe, xes, ","ex, eas, exa, ease, essa, exe, esea, easa, exas, "
,●,●,,,●,,,,free,,"fe, res, ffe, rse, ser, fer, fee, ress, ffer, fere, rese, fre, ref, ","ers, ef, erf, eff, erse, efe, eres, "
●,●,●,,,●,,,,few,,"reas, few, swe, fea, swer, fear, sear, wes, afe, wers, safe, aref, affe, werf, swee, xer, ","ears, ews, ersa, exer, "
,,,●,,●,,,v,,,,
●,,,●,,●,,,,tea,eat,"pe, av, ate, ave, va, ppe, pea, atte, appe, tea, tate, ape, ppea, ","ep, eat, eep, ept, eate, eav, epa, "
,●,,●,,●,,,,,ever,"ce, ver, ter, rec, tter, cre, rv, tre, ret, cer, rce, cte, rte, cce, ","ec, ever, ect, erv, ert, ece, "
●,●,,●,,●,,,,water,,"per, pre, ace, reat, pec, rep, ater, twe, rate, crea, pect, care, pare, twee, cep, ","eca, eac, etw, erat, etwe, "
,,●,●,,●,,,,set,,"de, ted, ste, sed, ded, des, ved, ves, tes, ssed, set, sted, dde, sev, seve, dee, dv, ","ed, est, eed, "
●,,●,●,,●,,,,state,east,"spe, ade, dea, ated, xpe, ped, pped, ates, aste, dep, adv, stea, step, ","ead, exp, expe, ext, esp, east, espe, "
,●,●,●,,●,,,,street,effect,"red, der, fte, ces, fter, dre, ced, ster, rest, sec, rde, cess, serv, ders, dec, cted, stre, ters, rder, ","ered, "
●,●,●,●,,●,,,,after,,,
,,,,●,●,,,h,,,,
●,,,,●,●,,,,anne,jane,"ane, ah, anne, ahe, ahea, ","ha, han, hea, ean, je, nea, ena, eha, enj, jea, nha, eah, eane, jean, nq, "
,●,,,●,●,,,,,her,"ren, rne, rke, rh, ","her, ke, here, hr, ner, ern, hre, eren, kne, ek, eek, ener, ken, hree, kee, nner, "
●,●,,,●,●,,,,when,new,"wh, whe, wha, when, ake, wher, wen, ween, aren, week, arke, aken, ","new, har, hear, eak, knew, earn, nera, near, "
,,●,,●,●,,,,she,me,"sh, she, sen, seem, ","me, em, men, hem, nes, eme, hes, mes, ens, ness, hese, eem, nse, mse, mem, emen, "
