A,O,E,I,H,T,N,S,base,left word,right word,left partials,right partials
●,,,,,,,,a,,,,
,●,,,,,,,o,,,,
●,●,,,,,,,",",,,"oa, ao, ",
,,●,,,,,,e,,,,
●,,●,,,,,,!,,,,
,●,●,,,,,,.,,,,
●,●,●,,,,,,,,,,
,,,●,,,,,i,,,,
●,,,●,,,,,p,,,,
,●,,●,,,,,y,,,,
●,●,,●,,,,,,pay,,"ay, po, op, ppo, opp, poi, ayi, ya, py, oppo, pay, opi, yp, ppy, poo, appy, pop, oya, apo, oop, ",
,,●,●,,,,,u,,,,
●,,●,●,,,,,,up,,"pe, up, ep, au, ua, pu, ppe, pea, eep, appe, upp, ape, ppea, epa, epe, pie, eau, pape, pee, epi, ",
,●,●,●,,,,,,you,,"ou, you, ey, ye, iou, eye, uy, oye, eyo, yee, oyee, uo, oui, eou, uou, uyi, yie, uye, oue, oyou, ",
●,●,●,●,,,,,,pope,,"peo, eop, peop, ope, yea, oup, upo, uppo, aye, oppe, epo, pou, ype, opu, popu, poe, eapo, opea, oope, opie, ",
,,,,●,,,,h,,,,
●,,,,●,,,,", ",,,,
,●,,,●,,,,b,,,,
●,●,,,●,,,,,,,"ab, abo, oba, obab, abb, aba, aboa, oah, aho, ","ba, bab, boa, hab, hao, habb, "
,,●,,●,,,,j,,,,
●,,●,,●,,,,,,,"ja, eha, aj, jea, ahe, ahea, eah, ehea, aje, ","hea, hae, "
,●,●,,●,,,,,,be,"jo, job, eb, joh, obe, obj, obje, oj, oje, eho, joe, ebo, ","be, bee, beh, bj, bje, hoe, heo, bbe, "
●,●,●,,●,,,,,,,"ajo, abe, joa, abbe, eba, eab, eeab, abea, abee, ","bea, beha, habe, "
,,,●,●,,,,f,,,,
●,,,●,●,,,,,,,"af, ph, aff, phi, aph, pha, affa, affi, pf, ","fa, hap, happ, hip, fai, hai, ffa, ffai, hia, hipp, fia, "
,●,,●,●,,,,,of,,"of, off, ib, offi, yb, ibi, ybo, ifo, ofi, oof, ","fo, by, bi, hy, foo, boy, ffo, hoi, fy, hio, "
●,●,,●,●,,,,,,happy,"abi, pho, ayb, phy, oph, aby, pab, apab, affo, iab, ophy, aphy, ","hop, habi, baby, bay, hopi, hopp, babi, bai, "
,,●,●,●,,,,,,,"ef, ju, ife, iffe, eff, ief, efu, uf, uff, efe, ehi, effe, ","fe, hei, fu, hu, ffe, fee, fie, hie, "
●,,●,●,●,,,,,,,"afe, phe, eph, jap, japa, affe, ephe, efea, eaf, ufa, pfu, jai, uph, pef, ","fea, hape, hau, heap, fau, heep, "
,●,●,●,●,,,,,joy,buy,"ub, efo, offe, oub, ibe, joy, ybe, joi, ubj, ubje, ","bu, hou, hey, bou, fou, bef, befo, bei, bui, behi, "
●,●,●,●,●,,,,,yeah,hope,,
,,,,,●,,,t,,,,
●,,,,,●,,,(,,,,
,●,,,,●,,,w,,,,
●,●,,,,●,,,,,,"aw, awa, owa, oat, ato, ota, otta, atto, otat, atoo, awo, aot, ","wa, wat, towa, tota, twa, tato, toa, "
,,●,,,●,,,c,,,,
●,,●,,,●,,,,act,tea,"ac, ate, eat, act, ace, eca, eac, atte, acc, eate, atc, eta, acte, acce, ","ca, tea, cat, tate, tac, cate, "
,●,●,,,●,,,,,we,"ew, oc, owe, eco, ote, etw, etwe, oce, occ, oct, octo, otte, ","co, we, wee, twe, twee, cto, cco, coo, "
●,●,●,,,●,,,,,coat,"acco, oac, oca, occa, ewa, acto, ocat, awe, ocea, eato, aco, ","wea, watc, wate, coa, weat, coat, coac, coca, cato, "
,,,●,,●,,,k,,,,
●,,,●,,●,,,,pat,tip,"ati, ak, pt, ita, aki, pat, ait, iat, apt, ka, pti, pit, pati, pta, itat, ","tak, tai, tia, tati, taki, "
,●,,●,,●,,,,,took,"ok, ook, ity, itio, yt, oti, owi, oki, ooki, otio, yw, ky, ito, ","wi, wit, tio, ty, took, tty, twi, "
●,●,,●,,●,,,,away,way,"atio, away, pow, ptio, pot, pok, opt, oka, kay, okay, pty, ywa, ","way, top, wai, wait, tay, typ, topp, wak, "
,,●,●,,●,,,,ice,cut,"ut, ic, ke, uc, ike, ice, ite, ick, eci, ecti, ute, eti, ici, ","tu, ck, ci, cu, cti, tic, tie, "
●,,●,●,,●,,,,put,take,"ake, ack, ica, pec, ecau, acti, ept, put, pect, atu, eak, pic, aut, ","cau, take, cia, tua, cap, cep, cept, "
,●,●,●,,●,,,,out,,"out, oke, ock, ooke, yet, oic, oice, oci, iew, utio, ety, ","cou, wou, ctio, cy, city, week, cio, ciou, tou, "
●,●,●,●,,●,,,,pocket,type,,
,,,,●,●,,,d,,,,
●,,,,●,●,,,,,that,"ad, ath, add, ada, atth, ","hat, tha, that, had, da, dat, dad, data, hatt, dha, ddha, hda, thda, hath, dadd, "
,●,,,●,●,,,,,who,"oth, od, ood, odd, owd, ","wh, do, tho, who, how, dow, bot, bod, both, doo, hot, tood, bt, wd, tod, "
●,●,,,●,●,,,,,what,"oad, ado, oda, adow, obta, atho, ","wha, what, tab, bat, bad, batt, toda, boat, dwa, hado, daw, bath, bta, tba, "
,,●,,●,●,,,,,the,"ed, eth, eed, ethe, jec, ject, ","the, de, ch, ted, ded, che, hed, tch, ced, dec, cted, ched, dde, dee, "
●,,●,,●,●,,,,each,head,"ead, ach, ade, each, athe, ated, eath, atch, ache, eade, jac, aced, ","cha, dea, head, tead, hate, deat, dead, date, "
,●,●,,●,●,,,,object,bed,"othe, owed, ode, ojec, ","whe, bec, bet, cho, wed, doe, choo, betw, bed, beco, bett, howe, bjec, whet, doc, doct, "
●,●,●,,●,●,,,,,watch,,
,,,●,●,●,,,,,did,"id, ith, ift, idd, ithi, kid, idi, ","di, thi, ft, did, dif, diff, hit, dit, tif, diti, fit, ddi, fift, "
●,,,●,●,●,,,,paid,fat,"aid, aft, adi, ida, path, addi, paid, pid, adit, aith, ","fat, fath, dia, hapt, diat, taf, taff, hak, dai, fait, "
,●,,●,●,●,,,,,with,"yth, ythi, itho, ody, othi, oft, ","with, whi, dy, why, body, book, bit, whit, doi, thy, wif, food, wid, foot, "
●,●,,●,●,●,,,,,day,,
,,●,●,●,●,,,,effect,feet,"ide, ich, ked, uch, ud, ied, edi, ethi, uth, ","thei, hic, hich, du, fte, chi, fic, ffic, die, duc, tud, "
●,,●,●,●,●,,,,idea,face,,
,●,●,●,●,●,,,,,but,,
●,●,●,●,●,●,,,,about,back,,
,,,,,,●,,n,,,,
●,,,,,,●,,',,,,
,●,,,,,●,,q,,,,
●,●,,,,,●,,,,,"on', ona, ano, anno, o', oan, onna, onan, aq, anon, 'no, oan', 'o, anq, ","noa, "
,,●,,,,●,,v,,,,
●,,●,,,,●,,,anne,van,"av, ave, e', ean, eav, ane, 'v, 've, eave, anne, en', ena, aven, eva, ava, ","va, nea, van, ne', nav, "
,●,●,,,,●,,,one,,"one, ov, ove, eq, eno, onv, eon, eone, onve, onne, evo, onen, eov, ","vo, nov, nvo, none, nove, nnov, von, "
●,●,●,,,,●,,,,,"avo, one', ova, aneo, eano, eavo, oe', eona, oane, ovna, ","nova, "
,,,●,,,●,,x,,,,
●,,,●,,,●,,,pain,,"ain, xp, i', ina, ian, ani, pan, pin, xa, pain, ppin, pani, aini, ax, anin, inan, xan, apan, anx, ","nia, "
,●,,●,,,●,,,,,"ion, oin, yin, yon, oni, ox, yn, iq, ony, inno, iny, inio, ino, ","ny, nio, nion, nyo, nyon, nny, niq, "
●,●,,●,,,●,,,any,,"any, pon, iona, poin, y', ayin, pany, anyo, opin, apon, anio, xpo, yan, onia, any', ay', iano, yna, ppon, ","ny', "
,,●,●,,,●,,,iv,nine,"un, iv, ive, ex, ine, ien, ivi, uni, ein, eni, inu, iev, inv, evi, ieve, ","vi, vin, nu, vie, nex, "
●,,●,●,,,●,,,i've,,"pen, exp, xpe, expe, avi, u', exa, avin, aine, ppen, pene, iva, i'v, i've, pine, epen, aun, una, eani, eavi, ",
,●,●,●,,,●,,,queen,,"oun, qu, qui, que, equ, ovi, youn, enou, yone, oney, equi, eque, quen, ovin, ovie, ","nou, ney, vio, voi, viou, "
●,●,●,●,,,●,,,upon,,,
,,,,●,,●,,g,,,,
●,,,,●,,●,,,,hang,"ag, ang, aga, anag, agg, agn, agan, ","ga, han, gan, hang, nag, gna, gag, nha, nga, ngag, g', ng', gang, "
,●,,,●,,●,,,,go,"ong, og, ohn, ogn, oog, ","go, goo, hon, gon, nob, bon, gno, gho, ghb, ghbo, hono, nobo, nb, goog, hno, "
●,●,,,●,,●,,,ago,bag,"ago, onab, aban, agon, oga, ogan, onag, 'b, ohn', 'oh, ","ban, goa, nab, bag, ho', gab, nhab, bona, bagh, noah, "
,,●,,●,,●,,,,,"eg, eng, ege, enj, enge, egg, egen, ","ge, hen, nge, gen, gene, gge, ghe, nj, gne, neg, hene, veh, nhe, "
●,,●,,●,,●,,,,have,"age, ange, ega, egan, eag, ehav, agen, jan, enga, jean, jane, ","hav, have, he', gav, gave, nage, heav, gage, vag, "
,●,●,,●,,●,,,,been,"oge, onge, john, enjo, ego, obv, ","been, beg, ben, hone, gone, gov, njo, bov, bove, gove, bene, geo, bv, goe, "
●,●,●,,●,,●,,,above,began,,
