A,S,E,T,N,I,O,P,base,left word,right word,left partials,right partials
●,,,,,,,,a,,,,
,●,,,,,,,s,,,,
●,●,,,,,,,w,,,,
,,●,,,,,,e,,,,
●,,●,,,,,,x,,,,
,●,●,,,,,,d,,,,
●,●,●,,,,,,,we,,"ad, we, da, ew, ead, eas, ade, dea, ase, wee, sea, wed, swe, wea, asse, ease, add, ews, eade, essa, ",
,,,●,,,,,t,,,,
●,,,●,,,,,f,,,,
,●,,●,,,,,c,,,,
●,●,,●,,,,,,fact,,"ca, ac, sta, act, tw, ast, fac, cat, acc, cas, stat, wat, sat, atc, fact, tac, sca, watc, sf, fas, ",
,,●,●,,,,,r,,,,
●,,●,●,,,,,,are,,"ar, ra, fe, fr, rea, ear, are, ate, ef, art, eat, tra, rat, fte, reat, era, ffe, arr, afte, fter, ",
,●,●,●,,,,,,set,,"ce, rs, ec, ers, ted, rd, res, est, red, der, cr, ect, ste, dr, str, rc, ces, rst, rec, rse, ",
●,●,●,●,,,,,,were,,"wer, were, ard, ace, war, car, eca, ars, eac, read, rac, ears, ated, wr, ward, star, twe, stra, crea, reas, ",
,,,,●,,,,n,,,,
●,,,,●,,,,q,,,,
,●,,,●,,,,j,,,,
●,●,,,●,,,,,san,,"wn, ans, wan, san, asn, answ, wasn, aj, sq, awn, asan, sna, wns, anw, ","ja, nsw, jan, nw, nsa, nwa, "
,,●,,●,,,,y,,,,
●,,●,,●,,,,,any,,"ay, any, ean, eq, ane, aye, anne, ena, xan, exan, anx, eane, enan, enea, ","yea, nea, nex, ya, nx, yan, "
,●,●,,●,,,,,eyes,need,"end, dy, den, sen, dn, ens, sy, ense, ","nd, ned, ys, nde, nes, nds, ness, je, yes, nse, need, nded, "
●,●,●,,●,,,,,and,,"and, way, day, ays, say, wen, ways, ady, ands, away, eady, ween, dan, days, ande, says, sand, ","new, nda, nswe, "
,,,●,●,,,,b,,,,
●,,,●,●,,,,,fan,,"ab, ba, ant, tan, tant, tab, ban, bab, bat, fan, batt, anta, fant, abb, ","nat, nf, nta, nab, nfa, nant, "
,●,,●,●,,,,,,,"bs, bj, sb, bst, bts, bc, bsc, bbs, cn, cb, cbs, stn, ","nc, nts, nst, nsc, nct, ncts, "
●,●,,●,●,,,,,can,,"can, anc, stan, bac, want, tanc, bas, ants, cann, abs, sba, sban, stab, sant, cq, acq, cans, ","nsta, jac, nanc, "
,,●,●,●,,,,,be,,"be, ent, ry, ty, rn, by, br, ery, ten, ren, bee, been, ber, rne, ern, bet, ","nte, ner, nter, ntr, "
●,,●,●,●,,,,,ran,next,"ran, ary, bef, arn, bea, ante, earn, bra, brea, aren, tran, ften, anyt, bar, rtan, req, ","year, nera, next, near, "
,●,●,●,●,,,,,best,,"enc, ence, bec, ents, cen, cent, rned, dent, sent, bes, renc, bed, cy, tend, ","nce, nder, nted, jec, ject, nces, "
●,●,●,●,●,,,,,went,years,,
,,,,,●,,,i,,,,
●,,,,,●,,,z,,,,
,●,,,,●,,,k,,,,
●,●,,,,●,,,,ask,,"wi, ak, sai, ask, asi, aki, wis, assi, wai, ais, sia, swi, ssia, wak, asks, aski, siz, asis, ","ka, isa, "
,,●,,,●,,,",",,,,
●,,●,,,●,,,,,,"ze, xi, exi, aze, ez, eez, eiz, eze, eeze, eize, xie, axi, zei, ezi, eezi, eizi, ","ize, ix, ixe, ixi, "
,●,●,,,●,,,,did,,"di, did, sid, side, dis, esi, edi, die, ek, eek, ske, essi, ","id, ke, ide, ike, ked, ies, ied, ise, "
●,●,●,,,●,,,,said,,"ake, aid, said, eak, aske, adi, dia, akes, week, six, zed, eadi, easi, edia, xis, aise, ","idea, iew, ized, ida, "
,,,●,,●,,,v,,,,
●,,,●,,●,,,,,if,"fi, av, ati, va, tai, ffi, avi, ait, fai, tia, tati, ativ, vat, tif, ","if, iff, ita, ift, iat, ifi, "
,●,,●,,●,,,,,its,"ck, ci, sti, cti, tic, sit, cit, vis, vic, sist, sic, ctiv, visi, tis, ","ic, ist, its, ick, ici, ict, "
●,●,,●,,●,,,,wait,,"wit, ack, tak, fic, cia, acti, ffic, wait, tica, sati, cati, wif, taki, fici, aci, ","ica, ista, icat, ific, icia, "
,,●,●,,●,,,,ever,,"ve, ri, ver, ev, eve, ever, eir, rie, eri, rit, rv, tri, rri, tive, erv, rti, ","ir, ive, ite, ire, "
